3.40846	0.310959
5.86284	0.520711
8.61242	1.02445
10.8591	1.46648
12.8949	2.7159
14.5128	3.76708
14.608	6.12391
14.4159	9.83308
14.2624	13.1887
14.1309	17.3503
13.8495	21.7159
13.5317	26.5505
13.1734	31.3486
12.3821	37.7716
11.8829	43.3149
10.7689	49.2677
9.14096	56.1847
7.46202	61.3525
5.17498	67.4001
3.5499	72.2888
2.12156	75.0279
-0.751957	75.4357
-4.72415	74.3781
-9.48917	73.6926
-13.88	73.374
-16.9663	73.5119
-18.5213	75.3012
-17.9297	78.363
-15.5015	77.7082
-14.1887	75.4853
-12.8965	74.7625
-10.28	74.7467
-10.075	74.7468
